Index,Chinese gloss,English gloss,Standard Zhuang,Donglan Datong,Dahua Yantan,Dahua Liushui,Modern Thai,Modern Thai Phonetics,Swadesh List,动物,植物,人称代词,亲属,动词,形容词,数字,量词,疑问代词,身体部位
482,晾（衣服）,to dry (clothes),,,taːk⁴⁴,taːk⁵⁵,ตากผ้า,takpha,True,,,,,True,,,,,
483,晒,to dry (in the sun),,,taːk⁴⁴,taːk⁵⁵,ตากแดด,takdaet,True,,,,,True,,,,,
484,割（草绳）,to cut (rope),,,ɹɐt³⁴,ɹɐt²³,ตัด,tat,,,,,,True,,,,,
485,割（草）,to cut (grass),,,kwɛ⁴⁵³,kwɛ⁵⁵³,ตัดหญ้า,tatya,,,,,,True,,,,,
486,掐，捏,"to squeeze, pinch (with fingers)",,,(ȵɐp⁵⁵),ȵɐn⁵⁵³,หยิก,yik,True,,,,,True,,,,,
487,搓，拧,"to rub, twist",,,cjiət⁴⁴,θaːt⁵⁵,ถูบิด,thubit,True,,,,,True,,,,,
488,剃,to shave,,,tɜi⁴⁴,tɜi⁴⁴,โกน,kon,,,,,,True,,,,,
489,断,to break,,,pɔŋ⁴⁴,pjɔŋ⁴⁴,หัก,ak,,,,,,True,,,,,
490,熄（火）,to put out,,,ʔdɐp⁵⁵,lɐm²³¹,ดับไฟ,dapfai,,,,,,True,,,,,
491,熄（灯）,to put out (a light),,,ʔdɐp⁵⁵,ʔdɐp⁵⁵,ดับไฟ,dapfai,,,,,,True,,,,,
492,埋,to bury,,,mɔk⁵⁵,mɔk⁵⁵,ฝัง,fang,,,,,,True,,,,,
493,挑选,to select,,,tiːu⁴²,θɛːn⁵⁵³,เลือก,lueak,,,,,,True,,,,,
494,沉,to sink,,,ɕɐm⁴²,ɕɐm⁴²,จม,chom,,,,,,True,,,,,
495,想要,to want,,,ʔɐu⁴²,ʔɐu⁴²,อยาก,yak,,,,,,True,,,,,
496,有,to have,,,mei²³¹,mi²³¹,มี,mi,,,,,,True,,,,,
497,发抖,to tremble,,,θɐn⁴⁴,θɐn²³¹,สั่น,san,,,,,,True,,,,,
498,隐藏,to hide,,,ɕɐu⁴²,ɕɐu⁴²,ซ่อน,son,,,,,,True,,,,,
499,隐瞒,"to hide, keep secret",,,muən²³¹,muən²³¹,ปิดบัง,pitbang,,,,,,True,,,,,
500,算,to count,,,θɔ⁴⁴,kɛ⁴⁴,นับ,nap,True,,,,,True,,,,,
501,做梦,to dream,,,faːŋ³¹ ʔən²³¹,hɯn²³ lɔ⁴⁴,ฝัน,fan,,,,,,True,,,,,
502,忘,to forget,,,lʊm²³¹,lʊm²³¹,ลืม,luem,,,,,,True,,,,,
503,听见,to hear,,,ʔdɜi⁴⁴ ŋi³¹,ʔdei⁵⁵ ŋi⁵⁵³,ได้ยิน,dain,True,,,,,True,,,,,
504,爱,to love,,,cjɜi²³¹,cjei²³¹,รัก,rak,,,,,,True,,,,,
505,射,to shoot,,,ŋɪŋ²³¹,ŋɪŋ²³¹,ยิง,ying,,,,,,True,,,,,
506,长,to grow,,,ʔdɐm⁴²,ʔdɐm⁴²,โต,to,,,,,,True,,,,,
507,结果,to bear (fruit),,,cjiət⁴⁴,cjiət⁵⁵,ออกผล,okpn,,,,,,True,,,,,
508,洗（河里）,to wash (in the river),,,ɕɐm²⁴ θɯei⁴⁴,ɕɐm³⁴⁴ θuːi⁴³,ล้างในแม่น้ำ,langnaimaenam,True,,,,,True,,,,,
509,还没,not yet,,,ʔdi⁴⁴ ɕɐŋ²³¹,ɕaŋ²³¹,ยังไม่,yangmai,,,,,,,True,,,,
510,是,to be,,,θei³¹ tɯk²³,θëi³¹ tɯk²²,เป็น,pen,,,,,,True,,,,,
511,把（刀的量词）,measure (word for a knife),,,faːk²¹,faːk²⁴,เล่ม,lem,,,,,,,,,True,,
